"","SYMBOL","ID","logFC","P.Value"
"7997880","CDH15","7997880",0.897217512513897,0.00991684650343366
"8002481",NA,"8002481",0.895352791781757,0.0555290228028932
"7977854","AJUBA","7977854",0.887457808564902,0.0000145503716266317
"7895941",NA,"7895941",0.886415383423902,0.0016258350221389
"7894160",NA,"7894160",0.860523248265837,0.00675028037039631
"7934789","GRID1","7934789",0.855843429474477,0.00194033671066627
"7896748",NA,"7896748",0.850858636064465,0.398856825483151
"8127854","ME1","8127854",0.847711805452961,0.00573715364809533
"7892529",NA,"7892529",0.84596073659757,0.000691371128774732
"7893013",NA,"7893013",0.84596073659757,0.000691371128774732
"8134339","PEG10","8134339",0.840798078894915,0.233497860547774
"8151532","FABP4","8151532",0.836143908235433,0.0288368546952667
"7907286","FMO1","7907286",0.835940390789334,0.0528163111982731
"8075695","APOL3","8075695",0.834394877018478,0.00505218411474287
"8019392","FASN","8019392",0.826451964246129,0.015966781808542
"7896251",NA,"7896251",0.825729236590885,0.0039237022159195
"7946988","HPS5","7946988",0.820169923927076,0.000232838470275538
"8076586","SCUBE1","8076586",0.81022115897526,0.0421002949124412
"8066822","SULF2","8066822",0.808587165464255,0.000358559086740757
"7975598","ACOT1","7975598",0.804670402312568,0.000945812601300777
"7893823",NA,"7893823",0.80260747109508,0.0346297458612398
"7980024","HEATR4","7980024",0.795518920818238,0.0384385571992395
"7894930",NA,"7894930",0.79036361724625,0.00392172816183345
"8073015","KDELR3","8073015",0.790121276463784,0.00376981859852028
"8108627","VTRNA1-1","8108627",0.784256521589008,0.0450470284464537
"8107204",NA,"8107204",0.772996790565553,0.219954861405485
"8074980","GSTT1","8074980",0.769425932528831,0.44139300419587
"7896499",NA,"7896499",0.765795592698399,0.00213532627772566
"8165692",NA,"8165692",0.763948095260275,0.269979610685718
"8025828","LDLR","8025828",0.762537668959808,0.0506756640038673
"7970329","GAS6","7970329",0.75773907893654,0.0000236386573567928
"7896307",NA,"7896307",0.753214086003185,0.000366042568601203
"7895445",NA,"7895445",0.750570985341125,0.0129844116554768
"7894925",NA,"7894925",0.750490843819288,0.0933576018017027
"7894202",NA,"7894202",0.745613618676983,0.0501670276131955
"7892615",NA,"7892615",0.741504579082,0.00266076938682298
"8092230","ZMAT3","8092230",0.741475565468598,0.000713490336316579
"7935572",NA,"7935572",0.741021309384005,0.0967272712584603
"8061013","ISM1","8061013",0.739733045651871,0.0127819844968864
"8108180",NA,"8108180",0.729288485091139,0.232486342475445
"7911343",NA,"7911343",0.726123889495002,0.230168905586971
"8165703",NA,"8165703",0.726123889495002,0.230168905586971
"7894454",NA,"7894454",0.720478225209992,0.0495205669560896
"8127396","EYS","8127396",0.714003353674094,0.00552466519981685
"8009417","KPNA2","8009417",0.713399106013496,0.00156105213293876
"8141676","MOGAT3","8141676",0.713007976972619,0.00396975728585527
"8025850","ANGPTL8","8025850",0.7128918389208,0.00190940413065469
"7894296",NA,"7894296",0.708392671988835,0.10947523739703
"8106280","HMGCR","8106280",0.705873826328671,0.118899024987588
"8020349",NA,"8020349",0.702531275609226,0.00225055467159522
"7895190",NA,"7895190",0.698377753329806,0.0403013753478013
