"","SYMBOL","ID","logFC","P.Value"
"238430_x_at","SLFN5","238430_x_at",0.886895236005643,0.0284078865388044
"204439_at","IFI44L","204439_at",0.884659093272406,0.330189835991573
"1557733_a_at","CHRM3-AS2","1557733_a_at",0.883648947383448,0.108228618170132
"243352_at","ALPK1","243352_at",0.882562297198872,0.171382453892825
"1557360_at","LRPPRC","1557360_at",0.878645382983197,0.020386244366235
"228592_at","MS4A1","228592_at",0.877952670559091,0.221596805802995
"232028_at","ZNF678","232028_at",0.877299928873893,0.0424218101535172
"1559263_s_at","ZC3H12D","1559263_s_at",0.8738277155538,0.0360099408945755
"205370_x_at","DBT","205370_x_at",0.872406127467082,0.0389555780687668
"209841_s_at","LRRN3","209841_s_at",0.871983615650285,0.218919529542272
"219392_x_at","PRR11","219392_x_at",0.871561546169014,0.0565684371618418
"207057_at","SLC16A7","207057_at",0.871483466031204,0.0805042233649799
"220012_at","ERO1B","220012_at",0.867236669030433,0.0451644328660083
"230400_s_at","PKN2","230400_s_at",0.86654990122722,0.0547592580044576
"229070_at","ADTRP","229070_at",0.866239883606348,0.114201848249433
"223781_x_at","ADH4","223781_x_at",0.866158056674357,0.0945825989947692
"221648_s_at","AGMAT","221648_s_at",0.866094767930167,0.0757902951090418
"235341_at","DNAJC3","235341_at",0.865626559317662,0.110437282537214
"240246_at","FRG1JP","240246_at",0.865452130835926,0.0517274395188204
"235167_at","LOC100190986","235167_at",0.862493764846273,0.0892131944227954
"204387_x_at","MRPL57","204387_x_at",0.860476617786241,0.00492408286922547
"207365_x_at","USP34","207365_x_at",0.86024662955092,0.0353900443634207
"225412_at","TMEM87B","225412_at",0.859283571563623,0.0559369062329651
"241762_at","FBXO32","241762_at",0.858627843748236,0.0463585006624481
"220720_x_at","MZT2B","220720_x_at",0.857742323607615,0.110538150597234
"219737_s_at","PCDH9","219737_s_at",0.857138160419978,0.136343693393467
"240757_at","CLASP1","240757_at",0.856886969159031,0.132367166273575
"220374_at","KLHL28","220374_at",0.854461868715895,0.0131856134209657
"227101_at","ZNF800","227101_at",0.853779346275549,0.0371689103449261
"232874_at","DOCK9","232874_at",0.852510654058409,0.060732285406731
"238245_at","ENPP7","238245_at",0.852179587441862,0.150222918407347
"1561079_at","ANKRD28","1561079_at",0.851368481746689,0.210079329313906
"218273_s_at","PDP1","218273_s_at",0.849450706844786,0.114607981011948
"208924_at","RNF11","208924_at",0.846484983565309,0.247366706609758
"223578_x_at","MALAT1","223578_x_at",0.846059286525797,0.267547743962378
"227001_at","NIPAL2","227001_at",0.845958579279356,0.0520083809713589
"1558678_s_at","MALAT1","1558678_s_at",0.842013650716272,0.0667410765625833
"243459_x_at","CDK14","243459_x_at",0.841632596188888,0.120399611608047
"232063_x_at","FARSB","232063_x_at",0.838005368225038,0.0666716235666546
"228613_at","RAB11FIP3","228613_at",0.834150740733935,0.0466888586496821
"207436_x_at","SORBS1","207436_x_at",0.829352009583628,0.0270055606214319
"243801_x_at","MRPL30","243801_x_at",0.828075325629881,0.0402276377807236
"206169_x_at","ZC3H7B","206169_x_at",0.826078506885232,0.137051018059653
"239049_at","CRIPT","239049_at",0.825811288140052,0.0381047982400381
"202600_s_at","NRIP1","202600_s_at",0.823922680264563,0.149996774968234
"220068_at","VPREB3","220068_at",0.821999351785361,0.0902851465442428
"228483_s_at","TAF9B","228483_s_at",0.819847595496428,0.124713543479054
"242518_at","RAD51-AS1","242518_at",0.816135466620059,0.0529204469054016
"239442_at","CEP68","239442_at",0.816050834239165,0.0385443452712036
"201070_x_at","SF3B1","201070_x_at",0.815926766551393,0.162711418770431
"229327_s_at","MAF","229327_s_at",0.815694781460495,0.182703205940758
"215179_x_at","PGF","215179_x_at",0.812002336687266,0.0668121791005107
"232648_at","PSMA3","232648_at",0.811156262369407,0.0549006936365496
"215504_x_at","ANKRD10-IT1","215504_x_at",0.810505262379938,0.0235001593677335
"223697_x_at","C9orf64","223697_x_at",0.808710400251252,0.0928771184371441
"229413_s_at","PCGF3","229413_s_at",0.807025951866009,0.0889678904749429
"209170_s_at","GPM6B","209170_s_at",0.806477074323995,0.290279180701428
"217979_at","TSPAN13","217979_at",0.805576922377298,0.0980324562576362
"213666_at","SEPTIN6","213666_at",0.803389733241319,0.0484013810934511
"222292_at","CD40","222292_at",0.80218369484482,0.0446840118608182
"209583_s_at","CD200","209583_s_at",0.801817678174896,0.0832376645510083
"232489_at","TRMT13","232489_at",0.800722765604582,0.162076260826906
"1562527_at","LOC441666","1562527_at",0.800280523009385,0.199278744854305
"210282_at","ZMYM2","210282_at",0.799636385602589,0.222422069863793
"226062_x_at","MINDY1","226062_x_at",0.799487518700857,0.140670496656255
"215483_at","AKAP9","215483_at",0.79908032361044,0.0642566156599148
"228841_at","LYRM7","228841_at",0.797184112940442,0.178930500222158
"243857_at","MORF4L2","243857_at",0.796588244450684,0.0364579594403975
"221625_at","ZNF506","221625_at",0.796188335516225,0.00384463232761134
"215069_at","NMT2","215069_at",0.79585105335735,0.00985040525142163
"235057_at","ITCH","235057_at",0.794344476268016,0.125140002813785
"208730_x_at","RAB2A","208730_x_at",0.793993503827847,0.223437665077088
"232953_at","LINC00266-1","232953_at",0.793730250722813,0.0210627853179484
"213256_at","MARCHF3","213256_at",0.789943752457754,0.0158972991013192
"210281_s_at","ZMYM2","210281_s_at",0.78919288773926,0.098966330378391
"229706_at","TCERG1","229706_at",0.789029016630233,0.0368290878375735
"1558882_at","HTATSF1P2","1558882_at",0.787493760277207,0.14116315263593
"228643_at","RAB30-DT","228643_at",0.787240499288668,0.105911035341458
"234981_x_at","CMBL","234981_x_at",0.787228407939775,0.0447927974278344
"232975_at","HCG18","232975_at",0.785921340163426,0.17417580602387
"230085_at","PDK3","230085_at",0.783277420630028,0.118310008771734
"241310_at","NEK5","241310_at",0.78220906615912,0.0901872337404961
"216051_x_at","PRINS","216051_x_at",0.781095723007236,0.0302419081191025
"214305_s_at","SF3B1","214305_s_at",0.778536419822016,0.161426882351593
"208003_s_at","NFAT5","208003_s_at",0.778237263752115,0.273364265991283
"207237_at","KCNA3","207237_at",0.775111861366124,0.0851185497444156
"244267_at","SATB1","244267_at",0.773593795862324,0.180830311619526
"1554116_s_at","PARP11","1554116_s_at",0.772501573344112,0.0116208311834996
"1553693_s_at","CBR4","1553693_s_at",0.772056246864007,0.0106259895641103
"223888_s_at","LARS1","223888_s_at",0.769203747584889,0.0580216774569902
"211565_at","SH3GL3","211565_at",0.768970288371831,0.295700396396453
"239726_at","ANK3","239726_at",0.768690645308566,0.0637786532045587
"242408_at","STYX","242408_at",0.768528021270128,0.0940160074316681
"244578_at","LCP2","244578_at",0.767191549297467,0.061372865678921
"1560659_at","LINC00342","1560659_at",0.765252830444644,0.0443612513275155
"230200_at","NSUN6","230200_at",0.765182883764121,0.0166236288578522
"1569652_at","MLLT3","1569652_at",0.764409535311925,0.170216861527952
"1552343_s_at","PDE7A","1552343_s_at",0.762232271681691,0.0180115886721588
"215698_at","KDM5A","215698_at",0.761225155727975,0.100839795685734
"220232_at","SCD5","220232_at",0.759941234352588,0.34652192039051
"215342_s_at","RABGAP1L","215342_s_at",0.759728160026261,0.230164263240382
"242970_at","DIP2B","242970_at",0.757124627374498,0.0937466974089521
"226919_at","LYRM2","226919_at",0.756949591337349,0.0653348240809837
"242248_at","PHKB","242248_at",0.754803328353049,0.147755255401689
"229145_at","ANAPC16","229145_at",0.753930955876784,0.0756402360875952
"236707_at","DAPP1","236707_at",0.749883631036818,0.105559401534554
"243008_at","RHEB","243008_at",0.748909626725735,0.0936184088282703
"1557065_at","YLPM1","1557065_at",0.74877801861816,0.0655588912727381
"227223_at","RBM39","227223_at",0.745161534847231,0.12010480866906
"223940_x_at","MALAT1","223940_x_at",0.744491271604774,0.483724064027565
"206108_s_at","SRSF6","206108_s_at",0.742807144809192,0.105558419882502
"215529_x_at","DIP2A","215529_x_at",0.742597073431082,0.0753589603023613
"224667_x_at","ANAPC16","224667_x_at",0.742187795026565,0.0734662003286415
"230509_at","SNX22","230509_at",0.741841541370579,0.0191013356738119
"231024_at","PGM5-AS1","231024_at",0.741645396274159,0.015713738633218
"235172_at","GABPB1-AS1","235172_at",0.741083952126772,0.150409960282831
"231808_at","OIP5-AS1","231808_at",0.740850900657515,0.0127443771584259
"223079_s_at","GLS","223079_s_at",0.739708047891127,0.223585242047002
"207492_at","NGLY1","207492_at",0.739259814551314,0.0443125357904845
"227259_at","CD47","227259_at",0.738384359534646,0.229822945144935
"235444_at","FOXP1","235444_at",0.737043923164933,0.022401634423947
"206759_at","FCER2","206759_at",0.735410229461678,0.0808600414269784
"217810_x_at","LARS1","217810_x_at",0.735092887392454,0.0150142537123606
"231862_at","CBX5","231862_at",0.732549511046757,0.054193510228833
"81737_at","LOC100505915","81737_at",0.732451194180351,0.0940708728872725
"214814_at","YTHDC1","214814_at",0.732413768653746,0.233258043488335
"1557895_at","LINC02076","1557895_at",0.73144331941356,0.048448549565896
"1556950_s_at","SERPINB6","1556950_s_at",0.730840820360505,0.0686660087550427
